title,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature
Smokin',Boston,spotify:track:5u5qlnyVaewWugJIjzilIc,0.197,0.796,2,-7.335,1,0.0645,0.000541,0.417,0.187,0.522,175.02,audio_features,5u5qlnyVaewWugJIjzilIc,https://api.spotify.com/v1/tracks/5u5qlnyVaewWugJIjzilIc,https://api.spotify.com/v1/audio-analysis/5u5qlnyVaewWugJIjzilIc,261387,4
Hitch a Ride,Boston,spotify:track:0870QNicMawQH2cnzBVZ3P,0.383,0.814,3,-7.23,1,0.0405,0.0011,0.00406,0.101,0.569,116.454,audio_features,0870QNicMawQH2cnzBVZ3P,https://api.spotify.com/v1/tracks/0870QNicMawQH2cnzBVZ3P,https://api.spotify.com/v1/audio-analysis/0870QNicMawQH2cnzBVZ3P,251733,4
Something About You,Boston,spotify:track:1KxNmUInjFsoDFrLaTtpLZ,0.265,0.75,6,-7.338,0,0.0566,0.000708,0.000185,0.0969,0.364,131.464,audio_features,1KxNmUInjFsoDFrLaTtpLZ,https://api.spotify.com/v1/tracks/1KxNmUInjFsoDFrLaTtpLZ,https://api.spotify.com/v1/audio-analysis/1KxNmUInjFsoDFrLaTtpLZ,227907,4
Let Me Take You Home Tonight,Boston,spotify:track:6485cn8SoHq6qPdmeQcw4x,0.488,0.634,2,-7.232,1,0.0346,0.00367,0.0,0.254,0.681,76.698,audio_features,6485cn8SoHq6qPdmeQcw4x,https://api.spotify.com/v1/tracks/6485cn8SoHq6qPdmeQcw4x,https://api.spotify.com/v1/audio-analysis/6485cn8SoHq6qPdmeQcw4x,286680,4
Don't Look Back,Boston,spotify:track:4QySZtWymRGNgrwxZOODKF,0.359,0.717,2,-10.309,1,0.0405,0.015,0.00365,0.36,0.47,121.878,audio_features,4QySZtWymRGNgrwxZOODKF,https://api.spotify.com/v1/tracks/4QySZtWymRGNgrwxZOODKF,https://api.spotify.com/v1/audio-analysis/4QySZtWymRGNgrwxZOODKF,360333,4
The Journey,Boston,spotify:track:6YvEvzEhfUlAZ86Nc32yVr,0.153,0.171,2,-22.064,1,0.0458,0.308,0.0134,0.153,0.0272,85.04,audio_features,6YvEvzEhfUlAZ86Nc32yVr,https://api.spotify.com/v1/tracks/6YvEvzEhfUlAZ86Nc32yVr,https://api.spotify.com/v1/audio-analysis/6YvEvzEhfUlAZ86Nc32yVr,104093,4
It's Easy,Boston,spotify:track:0xwQD6xJYa5lbsJ8B3rtoK,0.379,0.682,9,-11.069,1,0.0345,0.00784,0.017,0.13,0.686,138.804,audio_features,0xwQD6xJYa5lbsJ8B3rtoK,https://api.spotify.com/v1/tracks/0xwQD6xJYa5lbsJ8B3rtoK,https://api.spotify.com/v1/audio-analysis/0xwQD6xJYa5lbsJ8B3rtoK,264133,4
A Man I'll Never Be,Boston,spotify:track:0bjKbwEvZfU5epyZ3aZm1y,0.418,0.587,0,-9.611,1,0.0272,0.0562,6.64e-06,0.0548,0.485,106.664,audio_features,0bjKbwEvZfU5epyZ3aZm1y,https://api.spotify.com/v1/tracks/0bjKbwEvZfU5epyZ3aZm1y,https://api.spotify.com/v1/audio-analysis/0bjKbwEvZfU5epyZ3aZm1y,396173,4
Feelin' Satisfied,Boston,spotify:track:0yqIpi7zj74a0CRCedacOW,0.502,0.72,4,-10.627,1,0.0357,0.0842,7.28e-05,0.312,0.827,131.985,audio_features,0yqIpi7zj74a0CRCedacOW,https://api.spotify.com/v1/tracks/0yqIpi7zj74a0CRCedacOW,https://api.spotify.com/v1/audio-analysis/0yqIpi7zj74a0CRCedacOW,251827,4
Party,Boston,spotify:track:3fEJ2l3vfqRzLiDb9JksJb,0.496,0.687,2,-11.275,1,0.0378,0.0508,0.0149,0.114,0.53,137.562,audio_features,3fEJ2l3vfqRzLiDb9JksJb,https://api.spotify.com/v1/tracks/3fEJ2l3vfqRzLiDb9JksJb,https://api.spotify.com/v1/audio-analysis/3fEJ2l3vfqRzLiDb9JksJb,246507,4
Used to Bad News,Boston,spotify:track:1u5oRu7MMTDhcQw4LWbfuc,0.483,0.576,2,-10.885,1,0.0282,0.000597,0.000122,0.132,0.768,132.231,audio_features,1u5oRu7MMTDhcQw4LWbfuc,https://api.spotify.com/v1/tracks/1u5oRu7MMTDhcQw4LWbfuc,https://api.spotify.com/v1/audio-analysis/1u5oRu7MMTDhcQw4LWbfuc,176827,4
Don't Be Afraid,Boston,spotify:track:01ADfl2dm3ev0a7qcZN1Ix,0.451,0.851,9,-9.297,1,0.0791,0.0199,0.000625,0.076,0.488,122.153,audio_features,01ADfl2dm3ev0a7qcZN1Ix,https://api.spotify.com/v1/tracks/01ADfl2dm3ev0a7qcZN1Ix,https://api.spotify.com/v1/audio-analysis/01ADfl2dm3ev0a7qcZN1Ix,228267,4
Amanda,Boston,spotify:track:4gpext9x0CbdD9NWaa4nDj,0.449,0.424,7,-14.06,1,0.0323,0.32,1.69e-06,0.107,0.259,125.494,audio_features,4gpext9x0CbdD9NWaa4nDj,https://api.spotify.com/v1/tracks/4gpext9x0CbdD9NWaa4nDj,https://api.spotify.com/v1/audio-analysis/4gpext9x0CbdD9NWaa4nDj,256200,4
We're Ready,Boston,spotify:track:33lj1WVboFiKGLBdxOzSAl,0.344,0.497,4,-14.547,1,0.0395,0.615,0.000246,0.151,0.375,134.169,audio_features,33lj1WVboFiKGLBdxOzSAl,https://api.spotify.com/v1/tracks/33lj1WVboFiKGLBdxOzSAl,https://api.spotify.com/v1/audio-analysis/33lj1WVboFiKGLBdxOzSAl,237667,4
The Launch A) Countdown B) Ignition C) Third Stage Separation,Boston,spotify:track:38mSHlNQxJkjmLHCbES077,0.106,0.179,0,-18.183,0,0.0481,0.000517,0.711,0.178,0.055,87.256,audio_features,38mSHlNQxJkjmLHCbES077,https://api.spotify.com/v1/tracks/38mSHlNQxJkjmLHCbES077,https://api.spotify.com/v1/audio-analysis/38mSHlNQxJkjmLHCbES077,175893,3
Cool The Engines,Boston,spotify:track:5xy6EutTYrw9HJZE2ZYWth,0.434,0.658,11,-14.211,1,0.0428,0.0433,0.00201,0.0992,0.571,111.641,audio_features,5xy6EutTYrw9HJZE2ZYWth,https://api.spotify.com/v1/tracks/5xy6EutTYrw9HJZE2ZYWth,https://api.spotify.com/v1/audio-analysis/5xy6EutTYrw9HJZE2ZYWth,263400,4
My Destination,Boston,spotify:track:0OHvio80Cimv37hUJbgU7a,0.476,0.167,4,-15.855,1,0.0435,0.803,0.000619,0.0953,0.0397,123.752,audio_features,0OHvio80Cimv37hUJbgU7a,https://api.spotify.com/v1/tracks/0OHvio80Cimv37hUJbgU7a,https://api.spotify.com/v1/audio-analysis/0OHvio80Cimv37hUJbgU7a,139800,4
A New World,Boston,spotify:track:21A2oTRuD9YMEFtiSn8WRK,0.171,0.297,8,-15.771,0,0.0378,0.18,0.913,0.368,0.443,122.236,audio_features,21A2oTRuD9YMEFtiSn8WRK,https://api.spotify.com/v1/tracks/21A2oTRuD9YMEFtiSn8WRK,https://api.spotify.com/v1/audio-analysis/21A2oTRuD9YMEFtiSn8WRK,36107,5
To Be A Man,Boston,spotify:track:4HkxVCX6ocEDWqkE0BP1h0,0.247,0.282,8,-15.989,0,0.0325,0.577,0.000731,0.0679,0.152,148.202,audio_features,4HkxVCX6ocEDWqkE0BP1h0,https://api.spotify.com/v1/tracks/4HkxVCX6ocEDWqkE0BP1h0,https://api.spotify.com/v1/audio-analysis/4HkxVCX6ocEDWqkE0BP1h0,210200,4
I Think I Like It,Boston,spotify:track:0AkYLutYl7LC0iabvlrmpS,0.333,0.515,7,-14.615,0,0.058,0.29,0.00138,0.106,0.243,125.854,audio_features,0AkYLutYl7LC0iabvlrmpS,https://api.spotify.com/v1/tracks/0AkYLutYl7LC0iabvlrmpS,https://api.spotify.com/v1/audio-analysis/0AkYLutYl7LC0iabvlrmpS,246600,4
